Reliability report for main.2019-05-22-18-02-19.glm
Number of customers = 25

1366 metrics based around 1-hour base (outage-hours)

Events for year starting at 2000-01-01 00:00:00
Annual Event #,Metric Interval Event #,Starting DateTime (YYYY-MM-DD hh:mm:ss),Ending DateTime (YYYY-MM-DD hh:mm:ss),Object type,Object Name,Inducing Object,"Protective" Device,Desired Fault type,Implemented Fault Type,Number customers affected,Secondary number of customers affected
127,127,2000-05-02 21:46:27,2000-05-02 21:46:30,underground_line,node734-737,RandEvent,recloser_1,TLG,TLG,9,0
128,128,2000-05-02 22:12:25,2000-05-02 22:12:35,underground_line,node781-701,RandEvent,SwingNode781,TLG,TLG,25,0
129,129,2000-05-03 21:08:07,2000-05-03 21:08:09,underground_line,node702-713,RandEvent,SwingNode781,TLG,TLG,25,0
130,130,2000-05-05 00:50:46,2000-05-05 00:50:49,underground_line,node738-711,RandEvent,recloser_1,TLG,TLG,9,0
131,131,2000-05-07 00:34:57,2000-05-07 00:35:05,underground_line,node711-740,RandEvent,recloser_1,TLG,TLG,9,0
132,132,2000-05-07 12:43:20,2000-05-07 12:43:21,underground_line,node720-707,RandEvent,SwingNode781,TLG,TLG,25,0
133,133,2000-05-07 18:54:25,2000-05-07 18:54:26,underground_line,node714-718,RandEvent,SwingNode781,TLG,TLG,25,0
134,134,2000-05-08 14:45:07,2000-05-08 14:45:31,underground_line,node710-735,RandEvent,recloser_1,TLG,TLG,9,0
135,135,2000-05-09 22:21:49,2000-05-09 22:21:52,underground_line,node709-731,RandEvent,SwingNode781,TLG,TLG,25,0
136,136,2000-05-10 16:17:10,2000-05-10 16:17:12,underground_line,node734-737,RandEvent,recloser_1,TLG,TLG,9,0
137,137,2000-05-12 04:25:24,2000-05-12 04:25:25,underground_line,node703-727,RandEvent,SwingNode781,TLG,TLG,25,0
138,138,2000-05-12 17:38:47,2000-05-12 17:38:49,underground_line,node704-720,RandEvent,SwingNode781,TLG,TLG,25,0
139,139,2000-05-12 20:28:46,2000-05-12 20:28:48,underground_line,node714-718,RandEvent,SwingNode781,TLG,TLG,25,0
140,140,2000-05-13 04:24:42,2000-05-13 04:24:43,underground_line,node714-718,RandEvent,SwingNode781,TLG,TLG,25,0
141,141,2000-05-13 19:37:56,2000-05-13 19:37:57,underground_line,node702-703,RandEvent,SwingNode781,TLG,TLG,25,0
142,142,2000-05-13 19:44:44,2000-05-13 19:44:45,underground_line,node713-704,RandEvent,SwingNode781,TLG,TLG,25,0
143,143,2000-05-14 22:29:00,2000-05-14 22:29:01,underground_line,node744-728,RandEvent,SwingNode781,TLG,TLG,25,0
144,144,2000-05-18 14:55:57,2000-05-18 14:55:58,underground_line,node709-731,RandEvent,SwingNode781,TLG,TLG,25,0
145,145,2000-05-18 19:29:58,2000-05-18 19:30:00,underground_line,node733-734,RandEvent,recloser_1,TLG,TLG,9,0
146,146,2000-05-19 02:22:29,2000-05-19 02:22:30,underground_line,node720-707,RandEvent,SwingNode781,TLG,TLG,25,0
147,147,2000-05-21 04:30:29,2000-05-21 04:30:31,underground_line,node720-707,RandEvent,SwingNode781,TLG,TLG,25,0
148,148,2000-05-21 17:33:11,2000-05-21 17:33:19,underground_line,node709-731,RandEvent,SwingNode781,TLG,TLG,25,0
149,149,2000-05-22 06:20:11,2000-05-22 06:20:14,underground_line,node703-727,RandEvent,SwingNode781,TLG,TLG,25,0
150,150,2000-05-22 08:57:24,2000-05-22 08:57:25,underground_line,node703-727,RandEvent,SwingNode781,TLG,TLG,25,0
151,151,2000-05-23 08:03:47,2000-05-23 08:03:48,underground_line,node720-706,RandEvent,SwingNode781,TLG,TLG,25,0
152,152,2000-05-24 18:57:35,2000-05-24 18:57:36,underground_line,node706-725,RandEvent,SwingNode781,TLG,TLG,25,0
153,153,2000-05-25 15:45:04,2000-05-25 15:45:05,underground_line,node737-738,RandEvent,recloser_1,TLG,TLG,9,0
154,154,2000-05-27 08:19:13,2000-05-27 08:19:14,underground_line,node733-734,RandEvent,recloser_1,TLG,TLG,9,0
155,155,2000-05-30 02:39:15,2000-05-30 02:39:16,underground_line,node705-742,RandEvent,SwingNode781,TLG,TLG,25,0
156,156,2000-05-31 13:48:59,2000-05-31 13:49:04,underground_line,node707-724,RandEvent,SwingNode781,TLG,TLG,25,0
157,157,2000-06-01 08:41:28,2000-06-01 08:41:31,underground_line,node704-714,RandEvent,SwingNode781,TLG,TLG,25,0
158,158,2000-06-01 22:05:43,2000-06-01 22:05:44,underground_line,node737-738,RandEvent,recloser_1,TLG,TLG,9,0
159,159,2000-06-02 23:01:48,2000-06-02 23:01:49,underground_line,node702-713,RandEvent,SwingNode781,TLG,TLG,25,0
160,160,2000-06-03 11:14:00,2000-06-03 11:14:06,underground_line,node705-742,RandEvent,SwingNode781,TLG,TLG,25,0
161,161,2000-06-04 19:02:27,2000-06-04 19:02:28,underground_line,node706-725,RandEvent,SwingNode781,TLG,TLG,25,0
162,162,2000-06-06 12:41:37,2000-06-06 12:41:53,underground_line,node711-741,RandEvent,recloser_1,TLG,TLG,9,0
