# file...... Inverter_solEngInverter.csv
# date...... Fri Feb 20 16:42:03 2015
# user...... dpinney
# host...... (null)
# target.... inverter 2024
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,power_A,power_B,power_C
2014-01-10 01:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-10 02:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-10 03:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-10 04:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-10 05:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-10 06:00:00 PST,+6.9045+0j,+0+0i,+0+0i
2014-01-10 07:00:00 PST,+2076.62+0j,+0+0i,+0+0i
2014-01-10 08:00:00 PST,+17220.7+0j,+0+0i,+0+0i
2014-01-10 09:00:00 PST,+53991.4+0j,+0+0i,+0+0i
2014-01-10 10:00:00 PST,+75519+0j,+0+0i,+0+0i
2014-01-10 11:00:00 PST,+94909.1+0j,+0+0i,+0+0i
2014-01-10 12:00:00 PST,+95698.3+0j,+0+0i,+0+0i
2014-01-10 13:00:00 PST,+105272+0j,+0+0i,+0+0i
2014-01-10 14:00:00 PST,+96495.9+0j,+0+0i,+0+0i
2014-01-10 15:00:00 PST,+83590.9+0j,+0+0i,+0+0i
2014-01-10 16:00:00 PST,+62269+0j,+0+0i,+0+0i
2014-01-10 17:00:00 PST,+38313.8+0j,+0+0i,+0+0i
2014-01-10 18:00:00 PST,+12700.8+0j,+0+0i,+0+0i
2014-01-10 19:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-10 20:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-10 21:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-10 22:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-10 23:00:00 PST,+0+0j,+0+0i,+0+0i
