# currDump.csv run at 2000-01-01 00:00:00 PST on 675 links,,,,,,,
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag,avg_real_curr
T62463189482,0.014533,-0.000733,0,0,0,0,0.00484433333333333
18991,0.014533,-0.000733,0,0,0,0,0.00484433333333333
T62463188978,0.014533,-0.000733,0,0,0,0,0.00484433333333333
18525,7.095213,13.907232,11.896132,-7.208626,-23.123216,12.822573,-1.377290
18823,0.014531,-0.000734,0,0,0,0,0.00484366666666667
F7591,0.014531,-0.000734,0,0,0,0,0.00484366666666667
18675,0.014531,-0.000734,0,0,0,0,0.00484366666666667
18674,0.014531,-0.000734,0,0,0,0,0.00484366666666667
T62463124087,0.014531,-0.000734,0,0,0,0,0.00484366666666667
18630,7.080682,13.907966,11.896132,-7.208626,-23.123216,12.822573,-1.382134
17886,7.080682,13.907966,11.896132,-7.208626,-23.123216,12.822573,-1.382134
T62463123126,0,0,-0.014786,-0.024296,0,0,-0.00492866666666667
17815,7.080682,13.907966,11.910918,-7.18433,-23.123216,12.822573,-1.377205
T62463121197,0,0,0,0,-0.239798,0.425123,-0.0799326666666667
18225,7.080682,13.907966,11.910918,-7.18433,-22.883418,12.397449,-1.297273
18098,7.066157,13.908705,11.910918,-7.18433,-22.883418,12.397449,-1.302114
18025,0.014524,-0.000741,0,0,0,0,0.00484133333333333
T62462178321,0.014524,-0.000741,0,0,0,0,0.00484133333333333
18094,0,0,0,0,-0.462655,0.822638,-0.154218333333333
F7598,0,0,0,0,-0.462655,0.822638,-0.154218333333333
17654,0,0,0,0,-0.462655,0.822638,-0.154218333333333
T62462237996,0,0,0,0,-0.247373,0.43901,-0.0824576666666667
17998,0,0,0,0,-0.215282,0.383628,-0.0717606666666667
T62462237964,0,0,0,0,-0.006583,0.01305,-0.00219433333333333
17773,0,0,0,0,-0.208699,0.370577,-0.0695663333333333
T62462236981,0,0,0,0,-0.208699,0.370577,-0.0695663333333333
17756,7.051633,13.909446,11.910918,-7.18433,-22.420763,11.574811,-1.152737
17535,7.051633,13.909446,11.910918,-7.18433,-22.420763,11.574811,-1.152737
16557,5.004205,13.917992,11.910918,-7.18433,-15.985486,0.124391,0.309879
68062,0.411921,-0.012516,-0.105307,-0.170606,-2.122972,3.779461,-0.605453
R1201,0.411921,-0.012516,-0.105307,-0.170606,-2.122972,3.779461,-0.605453
68063,0.411922,-0.012516,-0.105307,-0.170606,-2.122972,3.779461,-0.605452
16564,0.411922,-0.012516,-0.105307,-0.170606,-2.122972,3.779461,-0.605452
17443,0.397403,-0.011771,-0.097444,-0.158333,-2.122972,3.779461,-0.607671
17563,0.397403,-0.011771,-0.097444,-0.158333,-2.122972,3.779461,-0.607671
17391,0.397403,-0.011771,-0.097444,-0.158333,-2.122972,3.779461,-0.607671
17699,0.397403,-0.011771,-0.097444,-0.158333,-2.122972,3.779461,-0.607671
17720,0.397403,-0.011771,-0.097444,-0.158333,-2.122972,3.779461,-0.607671
17643,0.397403,-0.011771,-0.097444,-0.158333,-2.122972,3.779461,-0.607671
17783,0.397403,-0.011771,-0.097444,-0.158333,-2.122972,3.779461,-0.607671
18177,0.397403,-0.011771,-0.097444,-0.158333,-2.122972,3.779461,-0.607671
18206,0.397403,-0.011771,-0.097444,-0.158333,-2.122972,3.779461,-0.607671
17903,0.397403,-0.011771,-0.097444,-0.158333,-2.122972,3.779461,-0.607671
18265,0.397403,-0.011771,-0.097444,-0.158333,-2.122972,3.779461,-0.607671
57854,0.397403,-0.011771,-0.097444,-0.158333,-2.122972,3.779461,-0.607671
F5187,0.397403,-0.011771,-0.097444,-0.158333,-2.122972,3.779461,-0.607671
57850,0.397403,-0.011771,-0.097444,-0.158333,-2.122972,3.779461,-0.607671
57837,0.114042,-0.00386,-0.007862,-0.012277,0,0,0.0353933333333333
T62463000400,0.028337,-0.00079,0,0,0,0,0.00944566666666667
57838,0.085706,-0.00307,0,0,0,0,0.0285686666666667
T62463000511,0.014516,-0.000745,0,0,0,0,0.00483866666666667
57836,0.07119,-0.002325,0,0,0,0,0.02373
T62463000610,0.042157,-0.000835,0,0,0,0,0.0140523333333333
57843,0.029032,-0.00149,0,0,0,0,0.00967733333333333
T62463000688,0.014516,-0.000745,0,0,0,0,0.00483866666666667
57835,0.014516,-0.000745,0,0,0,0,0.00483866666666667
T62462059787,0.014516,-0.000745,0,0,0,0,0.00483866666666667
57833,0,0,-0.007862,-0.012277,0,0,-0.00262066666666667
T62462058491,0,0,-0.007862,-0.012277,0,0,-0.00262066666666667
57794,0,0,0,0,0,0,0
57790,0,0,0,0,0,0,0
57851,0.28336,-0.007912,-0.089582,-0.146056,-2.122972,3.779461,-0.643064666666667
F7167,0.28336,-0.007912,-0.089582,-0.146056,-2.122972,3.779461,-0.643064666666667
57808,0.28336,-0.007912,-0.089582,-0.146056,-2.122972,3.779461,-0.643064666666667
57856,0,0,0,0,0,0,0
SW1064-Bx1,0,0,0,0,0,0,0
SW1064-Ax1,0,0,0,0,0,0,0
57810,0.09952,-0.003121,-0.08172,-0.133778,-2.122972,3.779461,-0.701724
F6171,0.09952,-0.003121,-0.08172,-0.133778,-2.122972,3.779461,-0.701724
57811,0.09952,-0.003121,-0.08172,-0.133778,-2.122972,3.779461,-0.701724
