HH.VEH.ID,VEHTYPE,URBUR,ARRHOME,DUR.HOME,DEPHOME,HHVEHMILES,ARRWORK,DUR.WORK,DEPWORK
1.057844e+07,1,1,1745,1300,645,14,700,1030,1730
1.058015e+07,1,1,1800,1300,700,29,800,900,1700
1.058091e+07,1,2,1640,1620,900,20,940,620,1600
1.058282e+07,1,1,1740,1350,730,30,800,900,1700
1.058310e+07,4,1,1630,1330,600,16,700,830,1530
1.058370e+07,4,1,1500,1430,530,26,556,834,1430
1.058449e+07,1,1,1940,1120,700,24,730,930,1700
1.058655e+07,1,1,2140,1350,1130,20,1300,815,2115
1.058666e+07,3,1,1925,1205,730,3.850000e+01,830,815,1645
1.058666e+07,1,1,1745,1345,730,3.950000e+01,810,700,1510
1.058786e+07,4,1,1600,1600,800,28,830,700,1530
1.059203e+07,4,2,2020,1040,700,16,720,1240,2000
1.059205e+07,1,1,1720,1.220000e+03,540,44,625,605,1230
1.059302e+07,1,1,1735,1.405000e+03,740,28,810,8.520000e+02,1702
1.059422e+07,1,2,1847,1153,640,1.600000e+01,658,1.015000e+03,1713
1.059450e+07,1,2,2210,9.100000e+02,720,22,750,710,1500
1.059537e+07,4,1,1645,1245,530,16,545,1045,1630
1.059564e+07,4,1,1721,1409,730,12,800,900,1700
1.059745e+07,1,1,2045,1045,730,41,845,745,1630
1.059863e+07,3,1,1718,1427,745,10,826,804,1630
1.060049e+07,2,1,1800,1430,830,12,845,845,1730
1.060269e+07,1,1,2255,8.400000e+02,735,3.250000e+01,805,755,1600
1.060310e+07,2,1,1755,1350,745,1.233333e+01,800,9.400000e+02,1740
1.060480e+07,1,1,2006,1.144000e+03,750,10,804,926,1730
1.060683e+07,3,1,1830,1300,730,30,815,845,1700
1.060759e+07,1,1,1845,1225,710,14,754,921,1715
1.060797e+07,1,2,1735,1315,650,29,751,839,1630
1.061287e+07,1,1,1730,2300,1630,30,800,800,1600
1.061303e+07,1,2,1908,1322,830,23,854,706,1600
1.061303e+07,1,2,2234,1555,1429,12,1446,6.570000e+02,2143
1.061325e+07,1,1,1525,1405,530,32,600,840,1440
1.061687e+07,1,1,1900,1145,645,42,740,838,1618
1.061711e+07,2,1,1730,1417,747,20,826,834,1700
1.061731e+07,1,1,1922,1218,740,1.522222e+01,755,9.200000e+02,1715
1.061732e+07,3,1,1525,1520,645,10,700,810,1510
1.061794e+07,1,1,1700,1630,930,30,1015,615,1630
1.061853e+07,1,1,1725,1405,730,14,750,9.100000e+02,1700
1.061853e+07,1,1,1725,1405,730,14,800,8.500000e+02,1650
1.061862e+07,2,1,1700,1315,615,16,645,945,1630
1.062437e+07,2,1,1918,1122,640,10,655,1208,1903
1.062447e+07,1,1,1705,1355,700,12,715,9.350000e+02,1650
1.062481e+07,4,1,1630,1500,730,20,800,800,1600
